"Proyecto","Camara","Zona","Latitud","Longitud","Archivo","TipoArchivo","FechaGrabacion","Mes","Hora","MinutoVideo","EspecieIA","ConfianzaIA","EspecieValidada","NombreCientifico","Sexo","IndividuoIndependiente","EventoRelacionado","EstadoRevision","Observaciones","Revisor","FechaValidacion"
"Monitoreo Jaguar Palmarito 2026","CAM-01","Zona Norte","-16.2501","-62.1101","1780235531309-bd28fd48-a56f-4e94-aeae-386f057017d0.jpg","IMAGE","2026-05-31 14:00:00",5,14,"","jaguar","88.4","Jaguar","Panthera onca","Macho","Sí","","Validada","Ensayo final de demo","Investigador WildStat","2026-05-31 13:52:13"
"Monitoreo Jaguar Palmarito 2026","CAM-01","Zona Norte","-16.2501","-62.1101","1780234599472-48967399-b98e-46f8-b51f-e2f2f58a8126.jpg","IMAGE","2026-05-31 12:00:00",5,12,"","jaguar","88.4","Jaguar","Panthera onca","Macho","Sí","","Validada","Validacion demo end-to-end","Investigador WildStat","2026-05-31 13:36:40"
"Monitoreo Jaguar Palmarito 2026","CAM-02","Zona Río","-16.2705","-62.1452","jaguar-apr-female.jpg","IMAGE","2026-04-10 01:44:00",4,1,"","Jaguar","91.0","Jaguar","Panthera onca","Hembra","No","","Validada","DEMO-SEED: jaguar-apr-female","Investigador WildStat","2026-05-30 15:00:00"
"Monitoreo Jaguar Palmarito 2026","CAM-01","Zona Norte","-16.2501","-62.1101","jaguar-mar-corrected-male.jpg","IMAGE","2026-03-18 19:32:00",3,19,"","Jaguar","91.0","Jaguar","Panthera onca","Macho","No determinado","","Corregida","DEMO-SEED: jaguar-mar-corrected-male","Investigador WildStat","2026-05-30 15:00:00"
"Monitoreo Jaguar Palmarito 2026","CAM-03","Zona Camino","-16.2912","-62.1803","jaguar-mar-independent-undetermined.jpg","IMAGE","2026-03-04 21:05:00",3,21,"","Jaguar","91.0","Jaguar","Panthera onca","No determinado","Sí","","Validada","DEMO-SEED: jaguar-mar-independent-undetermined","Investigador WildStat","2026-05-30 15:00:00"
"Monitoreo Jaguar Palmarito 2026","CAM-03","Zona Camino","-16.2912","-62.1803","puma-feb.jpg","IMAGE","2026-02-19 04:55:00",2,4,"","Puma","91.0","Puma","Puma concolor","No determinado","Sí","","Validada","DEMO-SEED: puma-feb","Investigador WildStat","2026-05-30 15:00:00"
"Monitoreo Jaguar Palmarito 2026","CAM-02","Zona Río","-16.2705","-62.1452","jaguar-feb-independent-female.jpg","IMAGE","2026-02-07 02:15:00",2,2,"","Jaguar","91.0","Jaguar","Panthera onca","Hembra","Sí","","Corregida","DEMO-SEED: jaguar-feb-independent-female","Investigador WildStat","2026-05-30 15:00:00"
"Monitoreo Jaguar Palmarito 2026","CAM-02","Zona Río","-16.2705","-62.1452","taitetu-jan.jpg","IMAGE","2026-01-20 10:40:00",1,10,"","Taitetú","91.0","Taitetú","","No determinado","Sí","","Validada","DEMO-SEED: taitetu-jan","Investigador WildStat","2026-05-30 15:00:00"
"Monitoreo Jaguar Palmarito 2026","CAM-01","Zona Norte","-16.2501","-62.1101","jaguar-jan-related-male.jpg","IMAGE","2026-01-12 23:24:00",1,23,"","Jaguar","91.0","Jaguar","Panthera onca","Macho","No","cmpttmk2y000evitn1twbrmud","Validada","DEMO-SEED: jaguar-jan-related-male","Investigador WildStat","2026-05-30 15:00:00"
"Monitoreo Jaguar Palmarito 2026","CAM-01","Zona Norte","-16.2501","-62.1101","jaguar-jan-independent-male.jpg","IMAGE","2026-01-12 23:18:00",1,23,"","Jaguar","91.0","Jaguar","Panthera onca","Macho","Sí","","Validada","DEMO-SEED: jaguar-jan-independent-male","Investigador WildStat","2026-05-30 15:00:00"
